Epoch,Training_Loss,Training_Accuracy,Training_Time,Validation_Loss,Validation_Accuracy,Validation_Time
0,4.238378804244995,0.07636,93.80689263343811,3.771025556564331,0.1206,8.229349136352539
1,3.537253477554321,0.1589,196.67954349517822,3.335814850616455,0.1945,8.107866287231445
2,3.1347545683670046,0.23056,299.26711535453796,3.0295046417236327,0.247,8.124223947525024
3,2.795848590927124,0.29482,401.6181631088257,2.7224914409637453,0.3126,8.222497463226318
4,2.5503251724624634,0.34052,504.4657709598541,2.5835221643447874,0.3367,8.135158777236938
5,2.3369987364196776,0.38498,607.2127435207367,2.48297652759552,0.3592,8.205350875854492
6,2.1563244551467897,0.42482,710.3009853363037,2.3438184133529663,0.392,8.25011920928955
7,1.9852554859924316,0.46048,813.4742176532745,2.260454174423218,0.4121,8.208082675933838
8,1.8312549593544005,0.49708,916.8241646289825,2.242167067527771,0.4163,8.232641458511353
9,1.6804792701148987,0.53118,1019.7775752544403,2.2157510268211364,0.4292,8.189874172210693
10,1.527388264503479,0.56772,1122.8174579143524,2.19907004442215,0.432,8.128162622451782
11,1.383932438840866,0.60644,1225.3524072170258,2.241595455646515,0.4326,8.126183271408081
12,1.229825932264328,0.64438,1328.3056819438934,2.313703919506073,0.4306,8.099958419799805
13,1.1019483646583557,0.67768,1431.5187673568726,2.3243729795455934,0.435,8.197044134140015
14,0.9755598173761367,0.71318,1534.7422399520874,2.3529873759269715,0.442,8.236164331436157
15,0.8615475013399124,0.74308,1638.4099037647247,2.4417144240379334,0.4338,8.23152494430542
16,0.7610048820209503,0.77092,1742.2919368743896,2.4878101964950563,0.4317,8.242969512939453
17,0.6703540571188926,0.7962,1845.2102220058441,2.5767051082611085,0.4314,8.198328733444214
18,0.59058333589077,0.82044,1948.2645809650421,2.6368213863372802,0.4326,8.226805686950684
19,0.5359087376976013,0.83626,2052.5567553043365,2.6886910840034486,0.4345,8.250358819961548
20,0.48241568421244624,0.85058,2156.953495502472,2.792033963871002,0.4384,8.208614826202393
21,0.43033761205673215,0.86684,2260.876514673233,2.8163072555541993,0.4365,8.206809043884277
22,0.41013838484466075,0.87284,2365.11772108078,2.8490010848999026,0.4432,8.221110105514526
23,0.3698758796352148,0.88564,2469.2452363967896,2.9769219272613525,0.4367,8.201601028442383
24,0.3463300169536471,0.8911,2573.5690569877625,3.06273157749176,0.4248,8.240657806396484
25,0.31992681756496427,0.90006,2676.444568634033,3.096818008518219,0.434,8.222092866897583
26,2.823796906824112,0.28548,2779.4848165512085,2.6229092559814453,0.318,8.241795778274536
27,2.5050775107955934,0.34492,2882.554566860199,2.3773628190994263,0.3788,8.258193492889404
28,2.1836245031929016,0.4138,2985.913437128067,2.142783070755005,0.4241,8.22365140914917
29,1.9441426302146911,0.46802,3089.444076538086,2.0600655318260195,0.4388,8.219958782196045
30,1.774085071258545,0.50716,3194.226456642151,1.900929640007019,0.4909,8.176467895507812
31,1.6464138183498382,0.53806,3299.1891746520996,1.8914243810653686,0.4842,8.183329343795776
32,1.5182279064941406,0.56904,3403.962648868561,1.8039321489334106,0.5141,8.24193263053894
33,3.311064737892151,0.20976,3508.7454302310944,2.6225862787246705,0.3171,8.212002992630005
34,2.3080063570785523,0.38518,3612.0510518550873,2.1592907668113708,0.4185,8.247876644134521
35,1.9377896863746642,0.46894,3715.6913166046143,2.009079075908661,0.4511,8.218087911605835
36,2.1476349796676635,0.4225,3820.691404104233,2.1347521568298338,0.422,8.248973846435547
37,2.0077999969863893,0.4513,3924.4411041736603,1.973373703479767,0.472,8.183411121368408
38,1.845711833591461,0.48698,4029.24268078804,1.9885064988136292,0.4568,8.166828870773315
39,1.7113859861183167,0.51922,4134.104452133179,1.9511749829292298,0.4727,8.190683126449585
40,1.5863897096252442,0.55112,4238.931354999542,1.8607420068740845,0.5033,8.21341609954834
41,1.474125420665741,0.5768,4343.736579418182,1.8020528666496276,0.5114,8.187758207321167
42,1.3579628755664825,0.60546,4448.627004146576,1.8043660752296449,0.5258,8.217079162597656
43,1.247609469780922,0.63242,4553.426639080048,1.7963824625968934,0.5187,8.170815229415894
44,1.1530680853939057,0.65528,4658.292391300201,1.8080651978492737,0.5285,8.217820882797241
45,1.0531025563812255,0.67954,4763.591458559036,1.8156618681430816,0.5277,8.203945398330688
46,2.610454827270508,0.32448,4868.53911113739,2.6509913208007814,0.3305,8.246207237243652
47,2.444267361869812,0.35696,4972.134525060654,2.439184910774231,0.3569,8.244289875030518
48,2.2230236351394654,0.40448,5075.719790220261,2.2076707483291624,0.4069,8.228265762329102
49,2.0424225101089477,0.44588,5179.549430370331,2.0718017756462097,0.439,8.244667530059814
50,1.9028456097602844,0.47502,5283.187725782394,2.055001253223419,0.4456,8.225275993347168
51,1.776226260700226,0.50368,5386.713401794434,2.0192347084045412,0.4607,8.202728509902954
52,1.6553209948921204,0.5318,5490.295687675476,1.986977585506439,0.4676,8.225402116775513
53,1.554056053647995,0.55564,5593.881458044052,1.879473652458191,0.4954,8.209961891174316
54,1.4457047696876526,0.58472,5697.959854841232,2.170954354095459,0.4585,8.229536294937134
55,1.351000863571167,0.60722,5801.547381401062,1.9742424817085267,0.4873,8.211339950561523
56,0.8686158542871475,0.73804,5905.300834417343,1.7694007770061493,0.5506,8.235234260559082
57,0.7352411976623535,0.77724,6010.741171360016,1.8066570995807647,0.5531,8.219720125198364
58,0.6864916544342041,0.78932,6115.360574960709,1.837235276699066,0.5542,8.20023775100708
59,0.654875541203022,0.79808,6220.315189361572,1.854212864112854,0.5559,8.226346254348755
60,0.6287024797797203,0.80512,6325.40389084816,1.871807599401474,0.5574,8.23389458656311
61,0.6104229389446973,0.81092,6430.5129981040955,1.8856687326431274,0.5587,8.249313831329346
62,0.5936940188229084,0.8158,6535.437367200851,1.905882907819748,0.5588,8.222312450408936
63,0.5730974834609032,0.82364,6640.580476284027,1.9220290086746217,0.5584,8.239370822906494
64,0.559682461026907,0.82678,6745.566722393036,1.936737825345993,0.5579,8.18845796585083
65,0.5460198706114292,0.83092,6850.449915885925,1.9490831770420074,0.5581,8.21598219871521
